date,city,country,temperature_c,humidity_pct,wind_speed_mps,pressure_hpa,precipitation_mm
2025-01-14,London,UK,11.9,80.5,6.2,1018.3,9.7
2025-01-14,Tokyo,Japan,16.3,77.4,4.1,1017.6,9.6
2025-01-14,Singapore,Singapore,24.7,79.4,2.3,1006.1,10.6
2025-01-14,Sydney,Australia,20.0,53.1,4.8,1012.5,0
2025-01-14,Cairo,Egypt,20.7,35.2,4.1,1003.4,0
2025-01-14,São Paulo,Brazil,22.3,62.8,4.1,1007.9,0
2025-01-14,Toronto,Canada,8.6,69.8,6.4,1012.6,3.0
2025-01-15,New York,USA,15.5,73.9,6.1,1019.6,2.9
2025-01-15,London,UK,10.8,78.9,6.1,1016.9,9.0
2025-01-15,Tokyo,Japan,16.0,75.3,4.1,1016.0,1.4
2025-01-15,Singapore,Singapore,25.2,78.4,2.0,1006.4,6.3
2025-01-15,Sydney,Australia,19.9,55.7,4.6,1009.7,0
2025-01-15,Cairo,Egypt,20.2,39.2,3.5,1004.1,0
2025-01-15,São Paulo,Brazil,23.0,64.1,3.5,1008.5,0
2025-01-15,Toronto,Canada,9.7,67.3,5.7,1012.5,0
2025-01-16,New York,USA,16.3,74.9,6.7,1020.5,6.0
2025-01-16,London,UK,10.4,83.1,5.2,1017.8,12.3
2025-01-16,Tokyo,Japan,15.9,73.3,3.4,1016.1,5.4
2025-01-16,Singapore,Singapore,24.7,82.7,1.3,1006.7,12.6
2025-01-16,Sydney,Australia,19.1,56.3,4.6,1013.3,0
2025-01-16,Cairo,Egypt,20.2,35.1,3.7,1005.7,0
2025-01-16,São Paulo,Brazil,23.4,65.9,3.6,1008.5,0
2025-01-16,Toronto,Canada,9.3,69.7,6.6,1013.1,0.8
2025-01-17,New York,USA,15.0,74.5,6.2,1019.0,6.3
2025-01-17,London,UK,9.8,80.2,5.3,1016.3,8.2
2025-01-17,Tokyo,Japan,15.5,70.9,3.7,1014.8,0
2025-01-17,Singapore,Singapore,24.7,81.3,0.7,1004.6,11.1
2025-01-17,Sydney,Australia,19.5,51.0,3.8,1010.0,0
2025-01-17,Cairo,Egypt,20.8,39.9,4.3,1005.0,0
2025-01-17,São Paulo,Brazil,22.6,66.4,3.4,1011.8,0
2025-01-17,Toronto,Canada,10.5,68.3,6.0,1016.1,0
2025-01-18,New York,USA,16.0,74.5,5.1,1019.4,0
2025-01-18,London,UK,11.7,81.6,5.3,1016.3,5.9
2025-01-18,Tokyo,Japan,16.5,70.6,2.1,1016.2,0
2025-01-18,Singapore,Singapore,24.5,76.4,1.2,1007.1,6.8
2025-01-18,Sydney,Australia,17.8,51.1,4.7,1010.0,0
2025-01-18,Cairo,Egypt,22.6,39.6,4.6,1005.3,0
2025-01-18,São Paulo,Brazil,24.1,61.4,3.9,1010.5,0
2025-01-18,Toronto,Canada,11.2,69.0,6.0,1017.4,0
2025-01-19,New York,USA,16.4,73.3,6.2,1019.1,7.1
2025-01-19,London,UK,10.1,81.0,4.8,1014.4,5.7
2025-01-19,Tokyo,Japan,16.5,70.2,2.9,1014.3,0
2025-01-19,Singapore,Singapore,25.4,77.3,1.1,1006.4,4.2
2025-01-19,Sydney,Australia,19.6,55.1,4.4,1011.0,0
2025-01-19,Cairo,Egypt,22.4,38.9,4.8,1008.2,0
2025-01-19,São Paulo,Brazil,22.2,66.9,5.0,1010.5,0
2025-01-19,Toronto,Canada,11.7,70.8,5.7,1017.2,3.2
2025-01-20,New York,USA,15.2,70.9,6.0,1019.5,4.1
2025-01-20,London,UK,11.5,81.3,5.5,1014.1,10.1
2025-01-20,Tokyo,Japan,14.5,68.5,2.8,1015.5,0
2025-01-20,Singapore,Singapore,23.5,77.5,0.7,1005.5,7.3
2025-01-20,Sydney,Australia,18.6,56.2,4.0,1010.8,0
2025-01-20,Cairo,Egypt,22.1,36.1,3.7,1005.7,0
2025-01-20,São Paulo,Brazil,24.2,62.6,3.9,1010.2,0
2025-01-20,Toronto,Canada,10.5,72.0,6.9,1016.9,2.1
2025-01-21,New York,USA,16.6,72.5,5.8,1020.7,2.3
2025-01-21,London,UK,11.8,80.9,5.2,1015.6,7.7
2025-01-21,Tokyo,Japan,14.7,70.6,2.2,1012.4,4.2
2025-01-21,Singapore,Singapore,24.6,74.7,1.4,1005.1,0.0
2025-01-21,Sydney,Australia,19.4,54.4,4.7,1010.4,0
2025-01-21,Cairo,Egypt,22.7,35.0,4.5,1006.9,0
2025-01-21,São Paulo,Brazil,22.5,65.6,3.8,1013.7,0.4
2025-01-21,Toronto,Canada,12.3,68.9,6.4,1016.4,1.0
2025-01-22,New York,USA,16.9,72.7,4.3,1020.9,0.1
2025-01-22,London,UK,11.6,81.8,4.0,1013.1,12.0
2025-01-22,Tokyo,Japan,14.6,66.6,3.0,1015.0,1.3
2025-01-22,Singapore,Singapore,25.0,74.0,1.6,1005.6,7.2
2025-01-22,Sydney,Australia,19.4,51.3,5.8,1012.2,0
2025-01-22,Cairo,Egypt,23.2,40.3,5.1,1008.2,0
2025-01-22,São Paulo,Brazil,23.3,67.4,5.1,1012.3,0
2025-01-22,Toronto,Canada,12.8,72.4,6.0,1019.4,3.9
2025-01-23,New York,USA,17.2,72.9,4.1,1017.5,0
2025-01-23,London,UK,11.6,75.8,4.3,1015.0,2.9
2025-01-23,Tokyo,Japan,15.0,70.4,3.1,1014.1,0
2025-01-23,Singapore,Singapore,24.5,76.0,2.2,1005.2,7.7
2025-01-23,Sydney,Australia,18.5,52.5,4.8,1013.2,0
2025-01-23,Cairo,Egypt,24.5,35.8,4.4,1008.6,0
2025-01-23,São Paulo,Brazil,23.7,68.9,5.2,1013.5,0
2025-01-23,Toronto,Canada,11.1,72.9,6.1,1018.0,4.7
2025-01-24,New York,USA,16.9,70.4,4.4,1019.1,2.2
2025-01-24,London,UK,9.6,76.0,4.7,1015.1,8.3
2025-01-24,Tokyo,Japan,15.9,68.5,2.3,1014.4,0
2025-01-24,Singapore,Singapore,24.3,74.8,2.5,1003.2,4.2
2025-01-24,Sydney,Australia,19.8,54.7,5.4,1011.0,0
2025-01-24,Cairo,Egypt,24.1,37.4,4.4,1008.9,0
2025-01-24,São Paulo,Brazil,23.7,68.6,4.2,1015.9,0
2025-01-24,Toronto,Canada,12.3,71.2,6.1,1018.0,0.5
2025-01-25,New York,USA,16.1,71.5,4.2,1019.2,4.1
2025-01-25,London,UK,10.6,78.7,4.6,1012.9,10.8
2025-01-25,Tokyo,Japan,15.8,67.3,2.6,1013.5,2.1
2025-01-25,Singapore,Singapore,24.8,73.0,1.7,1001.5,0
2025-01-25,Sydney,Australia,19.3,53.6,5.2,1012.1,0
2025-01-25,Cairo,Egypt,25.6,37.2,5.1,1009.2,0
2025-01-25,São Paulo,Brazil,22.5,67.3,4.9,1016.0,0
2025-01-25,Toronto,Canada,12.4,72.6,5.9,1020.4,4.3
2025-01-26,New York,USA,16.7,68.4,4.9,1017.7,0
2025-01-26,London,UK,9.9,74.3,3.5,1012.5,7.2
2025-01-26,Tokyo,Japan,15.2,67.8,1.7,1013.4,0
2025-01-26,Singapore,Singapore,24.2,73.9,2.4,1002.1,4.4
2025-01-26,Sydney,Australia,17.7,54.4,6.2,1013.1,0
2025-01-26,Cairo,Egypt,25.7,38.3,5.4,1009.6,0
2025-01-26,São Paulo,Brazil,23.6,70.7,4.7,1013.9,3.8
2025-01-26,Toronto,Canada,12.0,71.8,6.4,1020.6,2.2
2025-01-27,New York,USA,16.1,71.9,4.0,1017.3,0
2025-01-27,London,UK,10.1,73.2,4.4,1012.6,2.6
2025-01-27,Tokyo,Japan,14.4,64.8,2.1,1009.3,0
2025-01-27,Singapore,Singapore,25.2,73.2,1.9,1001.8,2.6
2025-01-27,Sydney,Australia,18.8,57.7,6.7,1012.3,0
2025-01-27,Cairo,Egypt,24.5,36.9,6.1,1010.4,0
2025-01-27,São Paulo,Brazil,23.9,72.4,5.4,1013.9,0
2025-01-27,Toronto,Canada,13.7,69.2,5.4,1020.6,0
2025-01-28,New York,USA,16.4,71.4,4.6,1018.6,2.9
2025-01-28,London,UK,10.4,76.0,3.6,1012.1,3.5
2025-01-28,Tokyo,Japan,15.2,68.0,2.6,1009.4,2.0
2025-01-28,Singapore,Singapore,26.6,72.1,1.7,1002.2,1.9
2025-01-28,Sydney,Australia,18.4,53.7,7.0,1014.5,0
2025-01-28,Cairo,Egypt,25.1,39.1,6.0,1009.9,0
2025-01-28,São Paulo,Brazil,22.5,71.7,4.4,1014.4,2.4
2025-01-28,Toronto,Canada,13.6,72.7,4.8,1020.1,3.7
2025-01-29,New York,USA,16.9,68.2,4.1,1017.5,0
2025-01-29,London,UK,10.2,76.2,4.3,1011.1,6.4
2025-01-29,Tokyo,Japan,14.4,66.4,3.2,1011.8,0
2025-01-29,Singapore,Singapore,26.1,72.4,2.4,1003.4,2.3
2025-01-29,Sydney,Australia,20.1,56.8,5.6,1012.0,0
2025-01-29,Cairo,Egypt,25.2,39.6,5.1,1010.9,0
2025-01-29,São Paulo,Brazil,24.4,73.8,5.3,1016.6,6.3
2025-01-29,Toronto,Canada,13.1,71.5,5.3,1020.3,3.1
2025-01-30,New York,USA,14.7,70.2,3.9,1015.9,3.7
2025-01-30,London,UK,10.7,72.1,4.2,1010.9,5.2
2025-01-30,Tokyo,Japan,15.3,66.0,3.4,1010.5,0
2025-01-30,Singapore,Singapore,26.4,73.6,2.8,1002.5,1.3
2025-01-30,Sydney,Australia,19.3,53.0,6.4,1011.8,0
2025-01-30,Cairo,Egypt,25.5,40.0,5.1,1011.1,0
2025-01-30,São Paulo,Brazil,24.3,74.3,5.3,1016.1,4.1
2025-01-30,Toronto,Canada,13.6,74.1,5.2,1018.2,0.8
2025-01-31,New York,USA,15.9,69.8,3.1,1016.4,0.5
2025-01-31,London,UK,11.1,70.9,4.6,1010.6,4.2
2025-01-31,Tokyo,Japan,16.2,66.7,3.6,1008.8,1.8
2025-01-31,Singapore,Singapore,27.3,72.1,3.1,1004.6,4.3
2025-01-31,Sydney,Australia,19.9,58.3,7.4,1015.5,0
2025-01-31,Cairo,Egypt,25.8,41.9,5.8,1011.9,0
2025-01-31,São Paulo,Brazil,23.8,71.0,4.0,1015.8,1.0
2025-01-31,Toronto,Canada,11.9,71.8,4.5,1021.6,0
2025-02-01,New York,USA,15.7,69.9,2.7,1015.2,0
2025-02-01,London,UK,9.2,72.8,3.2,1008.4,0
2025-02-01,Tokyo,Japan,16.5,64.5,3.4,1009.9,0.9
2025-02-01,Singapore,Singapore,26.8,71.3,4.0,1003.7,5.5
2025-02-01,Sydney,Australia,18.6,55.6,6.9,1014.2,0
2025-02-01,Cairo,Egypt,28.0,43.6,5.6,1012.8,0
2025-02-01,São Paulo,Brazil,22.3,74.7,3.7,1016.6,0.8
2025-02-01,Toronto,Canada,12.8,72.2,5.1,1019.8,5.2
2025-02-02,New York,USA,15.9,65.9,3.0,1016.5,0
2025-02-02,London,UK,11.4,74.7,3.8,1010.3,2.1
2025-02-02,Tokyo,Japan,15.8,61.0,4.1,1008.5,0
2025-02-02,Singapore,Singapore,27.9,74.2,2.6,1002.3,5.8
2025-02-02,Sydney,Australia,18.5,57.7,6.9,1015.6,0
2025-02-02,Cairo,Egypt,27.8,42.6,4.8,1013.5,0
2025-02-02,São Paulo,Brazil,23.8,73.2,4.0,1016.7,0
2025-02-02,Toronto,Canada,12.1,69.8,3.8,1020.5,0
2025-02-03,New York,USA,14.2,65.2,3.2,1015.6,0
2025-02-03,London,UK,9.4,68.6,3.7,1007.8,1.1
2025-02-03,Tokyo,Japan,15.4,62.0,4.1,1008.3,0
2025-02-03,Singapore,Singapore,27.8,73.0,3.5,1003.5,0
2025-02-03,Sydney,Australia,20.1,58.6,6.3,1014.5,0
2025-02-03,Cairo,Egypt,27.1,42.6,4.7,1015.1,0
2025-02-03,São Paulo,Brazil,22.2,73.1,4.0,1018.3,1.4
2025-02-03,Toronto,Canada,13.0,75.1,4.0,1018.6,0.0
2025-02-04,New York,USA,16.0,64.8,4.2,1014.4,0
2025-02-04,London,UK,10.9,72.9,4.0,1006.9,0
2025-02-04,Tokyo,Japan,17.8,63.4,4.3,1009.6,0
2025-02-04,Singapore,Singapore,27.9,72.9,3.8,1004.6,3.5
2025-02-04,Sydney,Australia,20.2,56.1,6.6,1013.9,0
2025-02-04,Cairo,Egypt,27.5,45.0,5.0,1016.1,0
2025-02-04,São Paulo,Brazil,21.7,78.0,4.1,1019.3,9.6
2025-02-04,Toronto,Canada,12.7,73.4,3.4,1020.0,0
2025-02-05,New York,USA,14.4,64.5,3.2,1015.4,0
2025-02-05,London,UK,10.7,69.7,4.9,1006.2,0.1
2025-02-05,Tokyo,Japan,18.2,63.7,3.8,1008.7,0
2025-02-05,Singapore,Singapore,27.5,70.4,3.6,1006.3,5.1
2025-02-05,Sydney,Australia,18.5,60.4,6.6,1018.1,0
2025-02-05,Cairo,Egypt,28.8,42.3,5.0,1016.2,0
2025-02-05,São Paulo,Brazil,21.7,76.9,3.3,1018.0,9.0
2025-02-05,Toronto,Canada,11.6,73.3,4.8,1018.9,7.0
2025-02-06,New York,USA,15.7,63.7,3.7,1014.8,0
2025-02-06,London,UK,10.8,70.3,4.0,1007.1,1.1
2025-02-06,Tokyo,Japan,17.8,63.7,4.8,1010.0,0
2025-02-06,Singapore,Singapore,29.3,74.4,4.6,1004.2,3.8
2025-02-06,Sydney,Australia,20.3,61.3,7.1,1016.4,0
2025-02-06,Cairo,Egypt,27.6,44.1,5.3,1016.5,0
2025-02-06,São Paulo,Brazil,22.2,77.5,3.7,1020.2,7.5
2025-02-06,Toronto,Canada,12.2,70.3,4.1,1018.4,4.2
2025-02-07,New York,USA,14.1,63.9,3.0,1011.7,0
2025-02-07,London,UK,11.4,71.3,4.9,1007.9,2.7
2025-02-07,Tokyo,Japan,18.4,63.5,4.7,1010.5,0
2025-02-07,Singapore,Singapore,29.8,72.8,3.9,1003.1,0
2025-02-07,Sydney,Australia,19.4,59.5,6.6,1019.3,0
2025-02-07,Cairo,Egypt,27.9,44.0,4.1,1015.6,0
2025-02-07,São Paulo,Brazil,21.5,76.2,3.5,1019.3,2.3
2025-02-07,Toronto,Canada,11.9,69.4,3.8,1020.2,0
2025-02-08,New York,USA,14.4,63.8,3.4,1013.4,0
2025-02-08,London,UK,10.6,67.8,5.9,1006.8,0
2025-02-08,Tokyo,Japan,18.4,57.7,5.1,1010.1,0
2025-02-08,Singapore,Singapore,29.0,70.0,3.7,1005.1,4.9
2025-02-08,Sydney,Australia,20.0,61.1,6.4,1016.4,0
2025-02-08,Cairo,Egypt,29.2,41.2,3.9,1017.5,0
2025-02-08,São Paulo,Brazil,20.4,76.6,3.4,1017.0,9.3
2025-02-08,Toronto,Canada,13.2,69.1,3.6,1016.8,0
2025-02-09,New York,USA,15.7,66.6,4.4,1011.7,0.1
2025-02-09,London,UK,10.7,66.2,5.0,1006.2,2.2
2025-02-09,Tokyo,Japan,18.0,58.8,5.6,1010.2,0
2025-02-09,Singapore,Singapore,29.4,71.0,3.8,1004.0,2.9
2025-02-09,Sydney,Australia,19.3,61.4,6.4,1018.2,0
2025-02-09,Cairo,Egypt,29.2,41.4,4.8,1017.7,0
2025-02-09,São Paulo,Brazil,22.2,75.7,2.4,1020.6,6.6
2025-02-09,Toronto,Canada,12.9,71.4,2.8,1017.6,0
2025-02-10,New York,USA,16.5,61.1,4.2,1011.6,0
2025-02-10,London,UK,10.8,64.7,6.0,1006.9,0
2025-02-10,Tokyo,Japan,17.7,57.0,5.7,1010.1,0
2025-02-10,Singapore,Singapore,31.4,71.5,3.3,1005.5,5.6
2025-02-10,Sydney,Australia,20.5,63.7,7.1,1018.6,0
2025-02-10,Cairo,Egypt,28.6,47.5,4.1,1016.3,0
2025-02-10,São Paulo,Brazil,20.4,77.2,2.6,1017.3,9.0
2025-02-10,Toronto,Canada,12.6,73.1,3.1,1019.2,4.4
2025-02-11,New York,USA,15.8,59.8,5.0,1012.2,0
2025-02-11,London,UK,12.6,65.8,6.5,1006.6,0
2025-02-11,Tokyo,Japan,19.3,59.0,5.6,1009.5,0
2025-02-11,Singapore,Singapore,31.1,75.8,3.3,1005.3,1.5
2025-02-11,Sydney,Australia,19.9,62.3,5.8,1021.0,0
2025-02-11,Cairo,Egypt,28.5,43.7,3.2,1018.5,0
2025-02-11,São Paulo,Brazil,21.3,75.5,2.7,1018.2,2.8
2025-02-11,Toronto,Canada,12.8,69.0,3.9,1016.4,0
2025-02-12,New York,USA,14.7,63.2,4.2,1008.7,0
2025-02-12,London,UK,12.9,66.6,6.3,1005.2,1.0
2025-02-12,Tokyo,Japan,19.0,61.4,4.7,1009.1,0
2025-02-12,Singapore,Singapore,30.0,73.5,3.7,1007.6,0
2025-02-12,Sydney,Australia,18.6,64.8,6.8,1020.6,0
2025-02-12,Cairo,Egypt,29.4,43.1,3.3,1017.1,0
2025-02-12,São Paulo,Brazil,18.8,77.1,2.4,1016.6,3.4
2025-02-12,Toronto,Canada,11.9,73.4,3.9,1018.6,0.6
2025-02-13,New York,USA,16.0,58.6,4.5,1009.8,0
2025-02-13,London,UK,12.3,62.8,6.5,1005.1,0
2025-02-13,Tokyo,Japan,18.9,58.9,5.4,1011.7,0
2025-02-13,Singapore,Singapore,32.1,72.9,4.2,1008.2,0.8
2025-02-13,Sydney,Australia,18.7,64.8,5.9,1019.7,0.5
2025-02-13,Cairo,Egypt,29.8,47.3,2.7,1018.8,0
2025-02-13,São Paulo,Brazil,19.7,80.4,2.8,1018.9,3.3
2025-02-13,Toronto,Canada,11.4,68.6,3.4,1018.1,2.8
2025-02-14,New York,USA,17.0,61.7,4.3,1011.2,0
2025-02-14,London,UK,11.9,62.9,5.8,1007.4,0
2025-02-14,Tokyo,Japan,21.1,61.8,5.0,1012.2,0
2025-02-14,Singapore,Singapore,30.8,76.2,4.4,1009.1,8.3
2025-02-14,Sydney,Australia,19.7,66.3,5.6,1022.6,0
2025-02-14,Cairo,Egypt,27.5,47.1,2.9,1015.7,0
2025-02-14,São Paulo,Brazil,19.2,77.8,2.6,1019.3,5.4
2025-02-14,Toronto,Canada,12.9,69.0,3.5,1015.1,0
2025-02-15,New York,USA,15.6,58.4,4.2,1008.5,0
2025-02-15,London,UK,12.2,66.3,6.5,1005.3,1.1
2025-02-15,Tokyo,Japan,20.2,60.8,4.8,1010.0,0
2025-02-15,Singapore,Singapore,32.1,74.1,3.9,1007.7,2.2
2025-02-15,Sydney,Australia,18.5,64.5,5.8,1021.5,0
2025-02-15,Cairo,Egypt,27.6,44.2,2.4,1015.7,0
2025-02-15,São Paulo,Brazil,19.3,81.0,2.3,1017.9,6.5
2025-02-15,Toronto,Canada,11.7,69.8,3.1,1017.3,4.7
2025-02-16,New York,USA,15.3,57.1,5.8,1007.2,0
2025-02-16,London,UK,14.4,63.0,6.7,1006.1,0
2025-02-16,Tokyo,Japan,20.7,60.4,5.7,1012.2,0
2025-02-16,Singapore,Singapore,33.4,75.8,3.9,1010.5,2.5
2025-02-16,Sydney,Australia,18.7,63.1,4.7,1023.5,0
2025-02-16,Cairo,Egypt,28.2,43.8,3.1,1017.0,0
2025-02-16,São Paulo,Brazil,17.9,78.3,1.3,1018.4,4.4
2025-02-16,Toronto,Canada,12.9,67.3,3.7,1012.9,0
2025-02-17,New York,USA,17.0,61.3,5.3,1006.6,0
2025-02-17,London,UK,12.9,62.0,6.8,1006.1,0
2025-02-17,Tokyo,Japan,22.2,60.4,4.8,1011.1,0
2025-02-17,Singapore,Singapore,31.9,75.0,3.7,1011.1,0.5
2025-02-17,Sydney,Australia,17.7,66.8,4.5,1021.8,0
2025-02-17,Cairo,Egypt,27.9,47.9,3.0,1018.3,0
2025-02-17,São Paulo,Brazil,17.5,80.5,2.1,1016.0,6.2
2025-02-17,Toronto,Canada,11.5,68.4,3.2,1016.1,0
2025-02-18,New York,USA,16.0,60.0,6.0,1008.2,0
2025-02-18,London,UK,13.8,65.2,6.1,1007.9,0
2025-02-18,Tokyo,Japan,21.8,56.9,4.7,1010.6,0
2025-02-18,Singapore,Singapore,33.0,73.3,2.8,1011.2,1.5
2025-02-18,Sydney,Australia,18.8,68.4,4.7,1023.5,0
2025-02-18,Cairo,Egypt,28.5,47.0,3.4,1016.7,0
