Title,Type,Department,Medium,Year~,Artist
Columbine and Pantalone,Group,European Sculpture and Decorative Arts,"Hard-paste porcelain decorated in polychrome enamels, gold",1741,Meissen Manufactory
Bodhidharma in meditation,Figure,Asian Art,White porcelain with transparent glaze (Dehua ware),1699,
Potpourri vase (pot-pourri à vaisseau),Vase,European Sculpture and Decorative Arts,"Soft-paste porcelain decorated in polychrome enamels, gold",1758,Sèvres Manufactory
Potpourri vase (pot-pourri gondole),Potpourri vase,European Sculpture and Decorative Arts,"Soft-paste porcelain decorated in polychrome enamels, gold",1757,Sèvres Manufactory
Stem cup with dragons,Stem cup,Asian Art,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),1435,
Jar with dragon,Jar,Asian Art,Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware),1433,
Moon jar,Jar,Asian Art,Porcelain,1799,
Chinese figure with bird,Group,European Sculpture and Decorative Arts,Hard-paste porcelain with gilt-bronze mounts and soft-paste porcelain flowers,1755,Meissen Manufactory
Sogu Katachi 05 (Sliced Form 05),Sculpture,Asian Art,Porcelain,2005,Nagae Shigekazu
Vase,Vase,Asian Art,Porcelain with peach-bloom glaze (Jingdezhen ware),1722,
Vase with Nine Peaches,Vase,Asian Art,Porcelain painted with colored enamels over transparent glaze (Jingdezhen ware),1795,
Milk jug (part of a service),Milk jug,European Sculpture and Decorative Arts,Hard-paste porcelain,1904,Sèvres Manufactory
Jar,Jar,Asian Art,Porcelain,1633,
Platter (one of a set),Platter,European Sculpture and Decorative Arts,Hard-paste porcelain,1750,Doccia Porcelain Manufactory
Jar with lid,Jar,Asian Art,Porcelain,1899,
Square vase,Vase,European Sculpture and Decorative Arts,Hard-paste porcelain,1894,Ernest Chaplet
Broth bowl with cover and stand (écuelle ronde et plateau rond),Broth bowl with cover and stand,European Sculpture and Decorative Arts,"Soft-paste porcelain decorated in polychrome enamels, gold",1758,Vincennes Manufactory
Two wall sconces (Bras de cheminée),Wall light sconces,European Sculpture and Decorative Arts,"Soft-paste porcelain decorated in polychrome enamel, gold, gilt bronze",1766,Jean-Claude Duplessis
Corpus from a crucifix,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1755,Doccia Porcelain Manufactory
Vase (vase chinois) (one of a pair),Vase,European Sculpture and Decorative Arts,"Hard-paste porcelain decorated in black enamel, platinum, two tones of gold; gilt metal; interior metal rod",1791,Sèvres Manufactory
Fragments of a Bowl,Fragments,Islamic Art,Porcelain,999,
The Mouse Catchers,Figure group,European Sculpture and Decorative Arts,Soft-paste porcelain,1755,Capodimonte Porcelain Manufactory
Jardinière,Jardinière,Modern and Contemporary Art,Porcelain,1895,Ernest Chaplet
Plate,Plate,Modern and Contemporary Art,Porcelain,1895,Ernest Chaplet
Vase,Vase,Modern and Contemporary Art,Porcelain,1895,Ernest Chaplet
Miniature Vase in the form of cactus or succulent,Miniature vase,European Sculpture and Decorative Arts,Porcelain,1889,Moore Brothers
Plate,Plate,Modern and Contemporary Art,Porcelain,1904,Georges de Feure
Quadruple orb vase,Vase,European Sculpture and Decorative Arts,Porcelain,1876,Worcester factory
Plate with marine subject,Plate,European Sculpture and Decorative Arts,Porcelain,1797,Dihl et Guérhard
Plate with marine subject,Plate,European Sculpture and Decorative Arts,Porcelain,1797,Dihl et Guérhard
Plate with marine subject,Plate,European Sculpture and Decorative Arts,Porcelain,1797,Dihl et Guérhard
Bottle vase,Vase,European Sculpture and Decorative Arts,Porcelain,1895,Ernest Chaplet
Pair of candlesticks,Candlesticks,European Sculpture and Decorative Arts,Hard-paste porcelain,1735,Vienna
Ewer (Brocca),Ewer,European Sculpture and Decorative Arts,Soft-paste porcelain,1585,Medici Porcelain Manufactory
Covered bowl and stand,Bowl with cover and stand,European Sculpture and Decorative Arts,Hard-paste porcelain,1770,Le Nove Porcelain Manufactory
Finch,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1750,Chelsea Porcelain Manufactory
Manticore,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1740,Vienna
Corpus from a Crucifix,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1760,Nymphenburg Porcelain Manufactory
Lioness (one of a pair),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1737,Meissen Manufactory
Crinoline lady,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1762,Nymphenburg Porcelain Manufactory
Bottle with Peony Scroll,Bottle,Asian Art,Porcelain painted with cobalt blue under a transparent glaze (Jingdezhen ware),1366,
America,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1786,Royal Porcelain Manufactory
Miner,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1792,Royal Porcelain Manufactory
Parrots,Group,European Sculpture and Decorative Arts,Soft-paste porcelain,1765,Bow Porcelain Factory
Isabella,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1763,Nymphenburg Porcelain Manufactory
Dwarf as a Hungarian with Partridges,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1749,Imperial Porcelain Manufactory
Shepherd Couple,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1785,Royal Porcelain Manufactory
Lovers with Cupids,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1800,Royal Porcelain Manufactory
Orientals,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1788,Royal Porcelain Manufactory
Beggar,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Nymphenburg Porcelain Manufactory
Pastoral Group,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1795,Le Nove Porcelain Manufactory
Four carnival musicians,Group,European Sculpture and Decorative Arts,Soft-paste porcelain,1775,Zurich Pottery and Porcelain Factory
Goose Seller,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1785,Royal Porcelain Manufactory
Standing woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1760,Nymphenburg Porcelain Manufactory
Asia,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1770,Nymphenburg Porcelain Manufactory
Goose Seller,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1785,Royal Porcelain Manufactory
Plate,Plate,European Sculpture and Decorative Arts,Hard-paste porcelain,1804,"Imperial Porcelain Manufactory, St. Petersburg"
Ragonda,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1759,Fürstenberg Porcelain Manufactory
Beaker (part of a garniture),Beaker,European Sculpture and Decorative Arts,Soft-paste porcelain,1775,Bow Porcelain Factory
Beaker (part of a garniture),Beaker,European Sculpture and Decorative Arts,Soft-paste porcelain,1775,Bow Porcelain Factory
A Mongolian man,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1755,Bow Porcelain Factory
A Mongolian lady,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1755,Bow Porcelain Factory
Jar with carp in lotus pond,Jar,Asian Art,Porcelain painted in underglaze cobalt blue and overglaze polychrome enamels (Jingdezhen ware),1566,
Standing Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1755,Imperial Porcelain Manufactory
Norwegian Peasant (Woman from Tromsø),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1785,Royal Porcelain Manufactory
Sultan and Moor,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1792,Royal Porcelain Manufactory
Norwegian Peasant (Bridegroom from Fanøe),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1785,Royal Porcelain Manufactory
Figure of a seated Chinese woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Nymphenburg Porcelain Manufactory
Pas de Trois,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1768,Ludwigsburg Porcelain Manufactory
Sultana and Attendant,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1835,Royal Porcelain Manufactory
Figure of a seated Chinese man,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Nymphenburg Porcelain Manufactory
Sultan and Moor,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1779,Fürstenberg Porcelain Manufactory
Guitarist,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1764,Capodimonte Porcelain Manufactory
Tankard,Tankard,European Sculpture and Decorative Arts,Hard-paste porcelain,1785,"Imperial Porcelain Manufactory, St. Petersburg"
Child (one of a pair),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1786,Fulda Pottery and Porcelain Manufactory
Candelabrum (one of a pair),Candelabrum,European Sculpture and Decorative Arts,Soft-paste porcelain,1770,Chelsea Porcelain Manufactory
Harlequin,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1764,Fürstenberg Porcelain Manufactory
Lovers,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1770,Chelsea Porcelain Manufactory
Man's head,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1765,Chelsea Porcelain Manufactory
Head of Pierrot,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1764,Chelsea Porcelain Manufactory
Pilgrim Couple,Group,European Sculpture and Decorative Arts,Soft-paste porcelain,1764,Capodimonte Porcelain Manufactory
Scaramouche with Children,Group,European Sculpture and Decorative Arts,Soft-paste porcelain,1764,Capodimonte Porcelain Manufactory
Boy with Monkey,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1764,Capodimonte Porcelain Manufactory
Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1800,"Royal Porcelain Manufactory, Naples"
Harlequin,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1775,Fulda Pottery and Porcelain Manufactory
Hunting Couple,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1780,Fulda Pottery and Porcelain Manufactory
Sultan,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1775,Fulda Pottery and Porcelain Manufactory
Child (one of a pair),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1786,Fulda Pottery and Porcelain Manufactory
Pantaloon,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1775,Fulda Pottery and Porcelain Manufactory
Fisherman,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Candelabrum (one of a pair),Candelabrum,European Sculpture and Decorative Arts,Soft-paste porcelain,1770,Chelsea Porcelain Manufactory
Fox and crow in a group,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Chelsea Porcelain Manufactory
Fish in net,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Chelsea Porcelain Manufactory
Shepherdess,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1770,Chelsea Porcelain Manufactory
Shepherd,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1770,Chelsea Porcelain Manufactory
Friar with basket and sack,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Chelsea Porcelain Manufactory
Friar carrying a woman,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Chelsea Porcelain Manufactory
Man's head,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1765,Chelsea Porcelain Manufactory
Lady's head,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1765,Chelsea Porcelain Manufactory
Lady's head,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Chelsea Porcelain Manufactory
U-shaped vase with handle (one of a pair),Vase,European Sculpture and Decorative Arts,Bone china,1869,Minton(s)
Hexagonal vase with cloisonné decoration,Vase,European Sculpture and Decorative Arts,Bone china,1880,Minton(s)
"Vase with owl heads and ""cloisonné"" decoration",Vase,European Sculpture and Decorative Arts,Bone china,1868,Minton(s)
Cylindrical vase with cattail motif,Vase,European Sculpture and Decorative Arts,Bone china,1869,Minton(s)
Tea caddy in the form of a tea bundle,Tea caddy,European Sculpture and Decorative Arts,Bone china,1878,Minton(s)
Plate,Plate,European Sculpture and Decorative Arts,Hard-paste porcelain,1804,"Imperial Porcelain Manufactory, St. Petersburg"
Pair of Gardeners,Figures,European Sculpture and Decorative Arts,Hard-paste porcelain,1791,Royal Porcelain Manufactory
The Right of Nationality,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1785,Royal Porcelain Manufactory
Columbine,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1775,Fulda Pottery and Porcelain Manufactory
Chinese empress and attendant,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1799,Ludwigsburg Porcelain Manufactory
The Sleeping Shepherdess,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1780,Fulda Pottery and Porcelain Manufactory
Chinese emperor and attendant,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1799,Ludwigsburg Porcelain Manufactory
Journey of a Soul to Heaven,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1770,Frankenthal Porcelain Manufactory
Chinese man with a bird,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1730,Meissen Manufactory
Vase,Vase,European Sculpture and Decorative Arts,Hard-paste porcelain,1825,"Royal Porcelain Manufactory, Berlin"
Kitty Clive,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1755,Bow Porcelain Factory
Henry Woodward,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1750,Bow Porcelain Factory
Leopard,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1745,Chantilly
Alchemist and his Assistant,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1780,
Beggar,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1730,Meissen Manufactory
Frightened Harlequin,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1745,Meissen Manufactory
Hussar,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1750,Villeroy
Swan,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
Bouquet,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1765,Saint James's Factory
Nosegay,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
The Washerwoman,Group,European Sculpture and Decorative Arts,Soft-paste porcelain,1763,Capodimonte Porcelain Manufactory
Cup and Saucer,Cup and Saucer,European Sculpture and Decorative Arts,Porcelain,1804,Imperial Porcelain Manufactory
Pantaloon,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Nymphenburg Porcelain Manufactory
Captain Spavento,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Nymphenburg Porcelain Manufactory
Pas de Deux,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1768,Ludwigsburg Porcelain Manufactory
Teapot,Teapot,European Sculpture and Decorative Arts,Soft-paste porcelain,1750,Chelsea Porcelain Manufactory
Charger,Charger,European Sculpture and Decorative Arts,Hard-paste porcelain,1740,Vienna
Kalmuk Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Kalmuk Man,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Lapplander,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Ice Cream Seller,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Okhta Milkmaid,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Yakut Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Ice Cream Seller,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Tartar Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Poultry Seller,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Kirghiz Man,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Kurile Man,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Tatar Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Tatar Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Karbadian Man,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Samoyed Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
The Morning Coffee,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1760,Höchst Manufactory
Nodding Pagod,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Meissen Manufactory
Miner Playing the Cello,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1735,Meissen Manufactory
Mendicant Capuchin Friar (one of a pair),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1770,Höchst Manufactory
Harlequin with pug as hurdy-gurdy,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1745,Meissen Manufactory
The Deceived Weakling,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1745,Meissen Manufactory
Hanswurst and Columbine,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1743,Meissen Manufactory
Dancers as Orientals,Figures,European Sculpture and Decorative Arts,Soft-paste porcelain,1745,Villeroy
Harlequin,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1775,Real Fabrica de Buen Retiro
Oriental Man,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1845,Popov Manufactory
Milkmaid,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1825,Gardner Manufactory
Pair of sphinxes,Figures,European Sculpture and Decorative Arts,Hard-paste porcelain,1773,Bristol
Woman with a Fruit Basket,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1825,Gardner Manufactory
Dancing Girl,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1749,Vienna
Saucer,Saucer,European Sculpture and Decorative Arts,Hard-paste porcelain,1835,Jean-Baptiste-Edouard Honoré
Bowl,Bowl,European Sculpture and Decorative Arts,Hard-paste porcelain,1745,Vienna
Tankard,Tankard,European Sculpture and Decorative Arts,Hard-paste porcelain,1735,Vienna
Asian,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1760,Höchst Manufactory
Bagpiper,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1750,Villeroy
Indiscreet Harlequin,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1745,Meissen Manufactory
Inkstand,Inkstand,European Sculpture and Decorative Arts,Soft-paste porcelain,1785,Lowestoft
Peasant Woman with Child,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1765,Mennecy
Lawyer from the Italian Comedy,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1765,Mennecy
Satyr,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1745,Villeroy
Hunters with Hounds,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Höchst Manufactory
Hunter with Hounds,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Höchst Manufactory
Saucer,Saucer,European Sculpture and Decorative Arts,Hard-paste porcelain,1735,Vienna
Parrot,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1740,Meissen Manufactory
Boy with mandolin,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
The Fencing Lesson,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1760,Höchst Manufactory
Basket of flowers,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
Couple Dressed as Persians,Figures,European Sculpture and Decorative Arts,Soft-paste porcelain,1765,Mennecy
Snuffbox,Snuffbox,European Sculpture and Decorative Arts,"Soft-paste porcelain, gold",1760,Saint James's Factory
Vase (vase à panneaux or à perles),Vase,European Sculpture and Decorative Arts,Soft-paste porcelain,1784,Sèvres Manufactory
Hunchback,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1755,Mennecy
Columbine and Pantaloon,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1744,Vienna
Lawyer,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1753,Meissen Manufactory
Harlequin with pince-nez,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1746,Meissen Manufactory
Franciscan Nun (one of a pair),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1770,Höchst Manufactory
Dwarf,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1760,Höchst Manufactory
Cat,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
Bird,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
Rooster,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
Harlequin and Columbine in a group,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
Three Graces in a group,Toy,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Saint James's Factory
Bottles (3),Bottles,European Sculpture and Decorative Arts,Hard-paste porcelain,1735,Meissen Manufactory
Covered vase (one of a pair),Vase,European Sculpture and Decorative Arts,Soft-paste porcelain,1770,Worcester factory
Covered vase (one of a pair),Vase,European Sculpture and Decorative Arts,Soft-paste porcelain,1770,Worcester factory
Female Shaman,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Man from Kamchatka,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Harlequin,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1765,Nymphenburg Porcelain Manufactory
Baluster-shaped vase (part of an assembled garniture),Vase,European Sculpture and Decorative Arts,Porcelain,1720,
Baluster-shaped vase (part of an assembled garniture),Vase,European Sculpture and Decorative Arts,Porcelain,1720,
Baluster-shaped vase,Vase,European Sculpture and Decorative Arts,Porcelain,1720,
Kazan Tartar Woman,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Peasant Woman from Ingria (Ingermanland),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Monteith (seau crennelé) (one of two) (part of a service),Monteith,European Sculpture and Decorative Arts,Soft-paste porcelain,1775,Sèvres Manufactory
Tray,Tray,European Sculpture and Decorative Arts,Hard-paste porcelain,1750,Meissen Manufactory
Sauceboat (part of a service),Sauceboat,European Sculpture and Decorative Arts,Hard-paste porcelain,1743,Meissen Manufactory
Columbine,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1758,Höchst Manufactory
Pantaloon,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1758,Höchst Manufactory
Captain,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1758,Höchst Manufactory
Harlequin with Bird and Cat,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1743,Johann Friedrich Eberlein
Dish,Dish,European Sculpture and Decorative Arts,Hard-paste porcelain,1884,Albert-Louis Dammouse
Monkeys,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1775,Gardner Manufactory
Mother goat and suckling kid,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1737,Meissen Manufactory
Oil or vinegar cruet,Cruet,European Sculpture and Decorative Arts,Hard-paste porcelain,1742,Meissen Manufactory
Oil or vinegar cruet,Cruet,European Sculpture and Decorative Arts,Hard-paste porcelain,1742,Meissen Manufactory
Chinese Couple,Figures,European Sculpture and Decorative Arts,Hard-paste porcelain,1742,Meissen Manufactory
Thrush (one of a pair),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1751,Meissen Manufactory
Dancer (one of a pair),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1763,Höchst Manufactory
Saucer (one of 12) (part of a service),Saucer,European Sculpture and Decorative Arts,Soft-paste porcelain,1774,Chelsea Porcelain Manufactory
Saucer (one of 12) (part of a service),Saucer,European Sculpture and Decorative Arts,Soft-paste porcelain,1774,Chelsea Porcelain Manufactory
Virgin of the Immaculate Conception,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1786,Fulda Pottery and Porcelain Manufactory
The Muse Thalia and Infant Harlequin,Group,European Sculpture and Decorative Arts,Hard-paste porcelain,1899,Meissen Manufactory
Teapot,Teapot,European Sculpture and Decorative Arts,Hard-paste porcelain,1730,Meissen Manufactory
Buddhist Divinity,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1720,Meissen Manufactory
Kuan Yin,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1775,Höchst Manufactory
Anthropomorphic Bottle in Human Form,Bottle,Asian Art,Stoneware,1099,
Covered Lime Pot in the Form of a Rabbit,Covered Lime pot,Asian Art,Stoneware,1199,
