date,day,source,target,amount_usd,transaction_type,transaction_count
2026-01-10,10,c09,c12,18003.99,services,3
2026-01-10,10,c02,c04,13136.43,components,2
2026-01-10,10,c03,c06,10078.02,services,2
2026-01-10,10,c08,c11,13544.17,materials,2
2026-01-10,10,c09,c10,13639.69,services,2
2026-01-10,10,c06,c07,7329.74,services,1
2026-01-11,11,c02,c03,12668.2,shipping,1
2026-01-11,11,c01,c06,16181.13,components,4
2026-01-11,11,c10,c12,11993.99,goods,3
2026-01-12,12,c01,c02,16124.55,goods,1
2026-01-12,12,c04,c06,20079.22,components,4
2026-01-12,12,c08,c10,11086.67,shipping,3
2026-01-12,12,c07,c11,18144.46,materials,2
2026-01-12,12,c02,c04,12546.06,components,1
2026-01-12,12,c03,c06,9226.51,services,1
2026-01-12,12,c08,c11,13708.51,materials,1
2026-01-12,12,c09,c10,11368.53,services,1
2026-01-13,13,c03,c05,9885.96,goods,4
2026-01-13,13,c07,c08,18102.44,shipping,3
2026-01-13,13,c09,c12,18411.99,services,2
2026-01-14,14,c02,c03,13064.64,shipping,4
2026-01-14,14,c01,c06,15879.54,components,3
2026-01-14,14,c10,c12,13063.9,goods,2
2026-01-14,14,c02,c04,15433.4,components,3
2026-01-14,14,c03,c06,9864.37,services,3
2026-01-14,14,c08,c11,14515.8,materials,3
2026-01-14,14,c09,c10,14315.36,services,3
2026-01-15,15,c01,c02,19461.38,goods,4
2026-01-15,15,c04,c06,20404.08,components,3
2026-01-15,15,c08,c10,11763.93,shipping,2
2026-01-15,15,c07,c11,16338.23,materials,1
2026-01-15,15,c06,c07,8918.15,services,1
2026-01-16,16,c03,c05,8897.18,goods,3
2026-01-16,16,c07,c08,15833.9,shipping,2
2026-01-16,16,c09,c12,17891.48,services,1
2026-01-16,16,c02,c04,14737.35,components,2
2026-01-16,16,c03,c06,10950.78,services,2
2026-01-16,16,c08,c11,16674.1,materials,2
2026-01-16,16,c09,c10,12880.97,services,2
2026-01-17,17,c02,c03,10340.66,shipping,3
2026-01-17,17,c01,c06,17214.39,components,2
2026-01-17,17,c10,c12,13931.84,goods,1
2026-01-18,18,c01,c02,16179.16,goods,3
2026-01-18,18,c04,c06,21548.51,components,2
2026-01-18,18,c08,c10,9531.37,shipping,1
2026-01-18,18,c07,c11,16292.55,materials,4
2026-01-18,18,c02,c04,12154.0,components,1
2026-01-18,18,c03,c06,9474.17,services,1
2026-01-18,18,c08,c11,16640.28,materials,1
2026-01-18,18,c09,c10,13401.31,services,1
2026-01-19,19,c03,c05,9935.83,goods,2
2026-01-19,19,c07,c08,18796.95,shipping,1
2026-01-19,19,c09,c12,19080.04,services,4
2026-01-20,20,c02,c03,10916.5,shipping,2
2026-01-20,20,c01,c06,13680.14,components,1
2026-01-20,20,c10,c12,12533.85,goods,4
2026-01-20,20,c02,c04,15616.18,components,3
2026-01-20,20,c03,c06,10679.81,services,3
2026-01-20,20,c08,c11,12920.46,materials,3
2026-01-20,20,c09,c10,13923.02,services,3
2026-01-20,20,c06,c07,8043.01,services,1
2026-01-21,21,c01,c02,16377.84,goods,2
2026-01-21,21,c04,c06,24535.32,components,1
2026-01-21,21,c08,c10,11301.24,shipping,4
2026-01-21,21,c07,c11,18240.4,materials,3
2026-01-21,21,c06,c08,19444.71,services,2
2026-01-21,21,c06,c12,17742.24,services,2
2026-01-22,22,c03,c05,9444.92,goods,1
2026-01-22,22,c07,c08,14832.52,shipping,4
2026-01-22,22,c09,c12,21616.79,services,3
2026-01-22,22,c06,c07,22707.79,components,3
2026-01-22,22,c06,c10,22725.74,components,3
2026-01-23,23,c02,c03,12622.39,shipping,1
2026-01-23,23,c01,c06,16234.58,components,4
2026-01-23,23,c10,c12,11996.48,goods,3
2026-01-23,23,c06,c08,16679.89,services,4
2026-01-23,23,c06,c12,14206.2,services,4
2026-01-24,24,c01,c02,19410.42,goods,1
2026-01-24,24,c04,c06,19689.89,components,4
2026-01-24,24,c08,c10,9606.84,shipping,3
2026-01-24,24,c07,c11,17292.36,materials,2
2026-01-24,24,c06,c07,23216.68,components,2
2026-01-24,24,c06,c10,23322.07,components,2
2026-01-24,24,c04,c11,20909.25,materials,2
2026-01-25,25,c03,c05,9826.82,goods,4
2026-01-25,25,c07,c08,18559.66,shipping,3
2026-01-25,25,c09,c12,17260.18,services,2
2026-01-25,25,c06,c08,19536.35,services,3
2026-01-25,25,c06,c12,17051.98,services,3
2026-01-26,26,c02,c03,12863.66,shipping,4
2026-01-26,26,c01,c06,13504.74,components,3
2026-01-26,26,c10,c12,12630.69,goods,2
2026-01-26,26,c06,c07,27404.31,components,4
2026-01-26,26,c06,c10,20213.8,components,4
2026-01-27,27,c01,c02,15547.46,goods,4
2026-01-27,27,c04,c06,25067.86,components,3
2026-01-27,27,c08,c10,10770.54,shipping,2
2026-01-27,27,c07,c11,15678.7,materials,1
2026-01-27,27,c06,c08,17870.36,services,2
2026-01-27,27,c06,c12,15542.58,services,2
2026-01-28,28,c03,c05,7917.57,goods,3
2026-01-28,28,c07,c08,18117.67,shipping,2
2026-01-28,28,c09,c12,18274.76,services,1
2026-01-28,28,c06,c07,27080.42,components,3
2026-01-28,28,c06,c10,18751.46,components,3
2026-01-28,28,c04,c11,20528.23,materials,2
2026-01-29,29,c02,c03,11521.1,shipping,3
2026-01-29,29,c01,c06,12894.44,components,2
2026-01-29,29,c10,c12,13416.8,goods,1
2026-01-29,29,c06,c08,16301.28,services,4
2026-01-29,29,c06,c12,14185.29,services,4
2026-01-30,30,c01,c02,18980.54,goods,3
2026-01-30,30,c04,c06,19941.94,components,2
2026-01-30,30,c08,c10,10306.77,shipping,1
2026-01-30,30,c07,c11,16464.51,materials,4
2026-01-30,30,c06,c07,26252.83,components,2
2026-01-30,30,c06,c10,19478.76,components,2
2026-01-31,31,c03,c05,9596.4,goods,2
2026-01-31,31,c07,c08,18745.77,shipping,1
2026-01-31,31,c09,c12,17812.81,services,4
2026-01-31,31,c06,c08,15457.75,services,3
2026-01-31,31,c06,c12,17542.53,services,3
2026-02-01,32,c02,c03,13000.93,shipping,2
2026-02-01,32,c01,c06,16575.54,components,1
2026-02-01,32,c10,c12,14847.59,goods,4
2026-02-01,32,c06,c07,24451.49,components,4
2026-02-01,32,c06,c10,21693.13,components,4
2026-02-01,32,c04,c11,22698.51,materials,2
2026-02-02,33,c01,c02,20053.48,goods,2
2026-02-02,33,c04,c06,24191.92,components,1
2026-02-02,33,c08,c10,11190.43,shipping,4
2026-02-02,33,c07,c11,15224.93,materials,3
2026-02-02,33,c06,c08,16169.98,services,2
2026-02-02,33,c06,c12,16657.48,services,2
2026-02-03,34,c03,c05,7699.07,goods,1
2026-02-03,34,c07,c08,18007.47,shipping,4
2026-02-03,34,c09,c12,20159.3,services,3
2026-02-03,34,c06,c07,24132.37,components,3
2026-02-03,34,c06,c10,23662.76,components,3
2026-02-04,35,c02,c03,10661.06,shipping,1
2026-02-04,35,c01,c06,14313.76,components,4
2026-02-04,35,c10,c12,14185.62,goods,3
2026-02-04,35,c06,c08,17217.45,services,4
2026-02-04,35,c06,c12,17663.51,services,4
2026-02-05,36,c01,c02,19809.85,goods,1
2026-02-05,36,c04,c06,24875.18,components,4
2026-02-05,36,c08,c10,11350.4,shipping,3
2026-02-05,36,c07,c11,17740.53,materials,2
2026-02-05,36,c06,c07,21659.7,components,2
2026-02-05,36,c06,c10,21985.22,components,2
2026-02-05,36,c04,c11,18742.91,materials,2
2026-02-06,37,c03,c05,7704.46,goods,4
2026-02-06,37,c07,c08,15267.06,shipping,3
2026-02-06,37,c09,c12,17496.81,services,2
2026-02-06,37,c06,c08,18353.4,services,3
2026-02-06,37,c06,c12,17237.6,services,3
2026-02-07,38,c02,c03,11098.6,shipping,4
2026-02-07,38,c01,c06,15050.33,components,3
2026-02-07,38,c10,c12,11564.8,goods,2
2026-02-07,38,c06,c07,26274.8,components,4
2026-02-07,38,c06,c10,21629.06,components,4
2026-02-08,39,c01,c02,15739.08,goods,4
2026-02-08,39,c04,c06,21974.49,components,3
2026-02-08,39,c08,c10,11325.82,shipping,2
2026-02-08,39,c07,c11,15015.56,materials,1
2026-02-08,39,c06,c08,16069.2,services,2
2026-02-08,39,c06,c12,16816.88,services,2
2026-02-09,40,c03,c05,8986.02,goods,3
2026-02-09,40,c07,c08,14935.24,shipping,2
2026-02-09,40,c09,c12,18590.67,services,1
2026-02-09,40,c06,c07,26853.63,components,3
2026-02-09,40,c06,c10,23517.73,components,3
2026-02-09,40,c04,c11,20213.42,materials,2
2026-02-10,41,c02,c03,11449.6,shipping,3
2026-02-10,41,c01,c06,14712.25,components,2
2026-02-10,41,c10,c12,11387.23,goods,1
2026-02-10,41,c03,c07,23089.52,goods,3
2026-02-10,41,c03,c11,30287.4,materials,5
2026-02-10,41,c09,c04,22662.69,services,3
2026-02-10,41,c09,c10,22094.83,services,5
2026-02-11,42,c01,c02,18811.55,goods,3
2026-02-11,42,c04,c06,23419.13,components,2
2026-02-11,42,c08,c10,11529.31,shipping,1
2026-02-11,42,c07,c11,15513.66,materials,4
2026-02-11,42,c03,c08,21177.32,shipping,5
2026-02-11,42,c09,c01,22106.19,services,3
2026-02-11,42,c09,c06,25841.33,services,5
2026-02-11,42,c05,c12,16823.99,goods,2
2026-02-11,42,c02,c08,14913.2,shipping,2
2026-02-12,43,c03,c05,8311.7,goods,2
2026-02-12,43,c09,c12,21049.61,services,4
2026-02-12,43,c03,c07,24879.37,goods,5
2026-02-12,43,c03,c11,25754.51,materials,3
2026-02-12,43,c09,c04,22641.8,services,5
2026-02-12,43,c09,c10,18613.34,services,3
2026-02-13,44,c02,c03,10209.47,shipping,2
2026-02-13,44,c01,c06,14966.43,components,1
2026-02-13,44,c10,c12,11655.39,goods,4
2026-02-13,44,c03,c08,23133.66,shipping,3
2026-02-13,44,c09,c01,24837.36,services,5
2026-02-13,44,c09,c06,33194.87,services,3
2026-02-14,45,c01,c02,17780.97,goods,2
2026-02-14,45,c04,c06,20472.08,components,1
2026-02-14,45,c08,c10,9739.46,shipping,4
2026-02-14,45,c07,c11,15078.52,materials,3
2026-02-14,45,c03,c07,29121.56,goods,3
2026-02-14,45,c03,c11,28383.98,materials,5
2026-02-14,45,c09,c04,25980.08,services,3
2026-02-14,45,c09,c10,19954.86,services,5
2026-02-14,45,c05,c12,13284.14,goods,2
2026-02-14,45,c02,c08,16235.25,shipping,2
2026-02-15,46,c03,c05,8046.16,goods,1
2026-02-15,46,c09,c12,19332.37,services,3
2026-02-15,46,c03,c08,21807.47,shipping,5
2026-02-15,46,c09,c01,28411.7,services,3
2026-02-15,46,c09,c06,27115.76,services,5
2026-02-16,47,c02,c03,11764.33,shipping,1
2026-02-16,47,c01,c06,14746.08,components,4
2026-02-16,47,c10,c12,12934.05,goods,3
2026-02-16,47,c03,c07,25955.01,goods,5
2026-02-16,47,c03,c11,29200.95,materials,3
2026-02-16,47,c09,c04,20178.22,services,5
2026-02-16,47,c09,c10,18878.62,services,3
2026-02-17,48,c01,c02,16686.14,goods,1
2026-02-17,48,c04,c06,19059.86,components,4
2026-02-17,48,c08,c10,11144.67,shipping,3
2026-02-17,48,c07,c11,16454.24,materials,2
2026-02-17,48,c03,c08,22799.98,shipping,3
2026-02-17,48,c09,c01,24103.98,services,5
2026-02-17,48,c09,c06,32353.31,services,3
2026-02-17,48,c05,c12,16249.26,goods,2
2026-02-17,48,c02,c08,20097.58,shipping,2
2026-02-18,49,c03,c05,10338.2,goods,4
2026-02-18,49,c09,c12,17802.27,services,2
2026-02-18,49,c03,c07,25369.15,goods,3
2026-02-18,49,c03,c11,27453.32,materials,5
2026-02-18,49,c09,c04,19987.43,services,3
2026-02-18,49,c09,c10,19321.93,services,5
2026-02-19,50,c02,c03,11053.07,shipping,4
2026-02-19,50,c01,c06,14239.59,components,3
2026-02-19,50,c10,c12,12954.7,goods,2
2026-02-19,50,c03,c08,23116.7,shipping,5
2026-02-19,50,c09,c01,27202.98,services,3
2026-02-19,50,c09,c06,33891.99,services,5
2026-02-20,51,c01,c02,15668.31,goods,4
2026-02-20,51,c04,c06,20416.45,components,3
2026-02-20,51,c08,c10,11276.54,shipping,2
2026-02-20,51,c07,c11,18012.43,materials,1
2026-02-20,51,c03,c07,27960.24,goods,5
2026-02-20,51,c03,c11,30653.02,materials,3
2026-02-20,51,c09,c04,23874.13,services,5
2026-02-20,51,c09,c10,20772.43,services,3
2026-02-20,51,c05,c12,16028.05,goods,2
2026-02-20,51,c02,c08,17845.19,shipping,2
2026-02-21,52,c03,c05,7694.03,goods,3
2026-02-21,52,c09,c12,21783.53,services,1
2026-02-21,52,c03,c08,24738.75,shipping,3
2026-02-21,52,c09,c01,26039.38,services,5
2026-02-21,52,c09,c06,33219.87,services,3
2026-02-22,53,c02,c03,10332.77,shipping,3
2026-02-22,53,c01,c06,15940.4,components,2
2026-02-22,53,c10,c12,11574.63,goods,1
2026-02-22,53,c03,c07,25567.99,goods,3
2026-02-22,53,c03,c11,25273.11,materials,5
2026-02-22,53,c09,c04,26104.93,services,3
2026-02-22,53,c09,c10,20029.28,services,5
2026-02-23,54,c01,c02,18280.16,goods,3
2026-02-23,54,c04,c06,23668.28,components,2
2026-02-23,54,c08,c10,10187.28,shipping,1
2026-02-23,54,c07,c11,16355.68,materials,4
2026-02-23,54,c03,c08,23790.54,shipping,5
2026-02-23,54,c09,c01,21689.62,services,3
2026-02-23,54,c09,c06,30563.12,services,5
2026-02-23,54,c05,c12,15504.45,goods,2
2026-02-23,54,c02,c08,19069.4,shipping,2
2026-02-24,55,c03,c05,8660.6,goods,2
2026-02-24,55,c09,c12,16787.01,services,4
2026-02-24,55,c03,c07,22846.79,goods,5
2026-02-24,55,c03,c11,29358.27,materials,3
2026-02-24,55,c09,c04,20065.35,services,5
2026-02-24,55,c09,c10,21561.33,services,3
2026-02-25,56,c02,c03,11963.87,shipping,2
2026-02-25,56,c01,c06,15151.05,components,1
2026-02-25,56,c10,c12,12114.45,goods,4
2026-02-25,56,c03,c08,24789.02,shipping,3
2026-02-25,56,c09,c01,23567.05,services,5
2026-02-25,56,c09,c06,29574.28,services,3
2026-02-26,57,c01,c02,16697.32,goods,2
2026-02-26,57,c04,c06,23162.17,components,1
2026-02-26,57,c08,c10,9645.83,shipping,4
2026-02-26,57,c07,c11,15863.3,materials,3
2026-02-26,57,c03,c07,25224.59,goods,3
2026-02-26,57,c03,c11,30149.0,materials,5
2026-02-26,57,c09,c04,24079.52,services,3
2026-02-26,57,c09,c10,19389.94,services,5
2026-02-26,57,c05,c12,16053.41,goods,2
2026-02-26,57,c02,c08,16387.26,shipping,2
2026-02-27,58,c03,c05,9750.61,goods,1
2026-02-27,58,c09,c12,18757.09,services,3
2026-02-27,58,c03,c08,23467.38,shipping,5
2026-02-27,58,c09,c01,27243.07,services,3
2026-02-27,58,c09,c06,27429.28,services,5
2026-02-28,59,c02,c03,12341.82,shipping,1
2026-02-28,59,c01,c06,15420.95,components,4
2026-02-28,59,c10,c12,13605.38,goods,3
2026-02-28,59,c03,c07,24337.33,goods,5
2026-02-28,59,c03,c11,25782.78,materials,3
2026-02-28,59,c09,c04,24525.39,services,5
2026-02-28,59,c09,c10,21274.48,services,3
2026-03-01,60,c01,c02,18472.32,goods,1
2026-03-01,60,c04,c06,23849.35,components,4
2026-03-01,60,c08,c10,11984.56,shipping,3
2026-03-01,60,c07,c11,18352.15,materials,2
2026-03-01,60,c03,c08,24425.22,shipping,3
2026-03-01,60,c09,c01,23266.7,services,5
2026-03-01,60,c09,c06,27395.79,services,3
2026-03-01,60,c05,c12,13768.04,goods,2
2026-03-01,60,c02,c08,16913.53,shipping,2
